id,nome,nome_ptbr,tipo,cr,origem_sugerida,andar_sugerido,arquetipo_sugerido,perigo_sugerido,tratamento_sugerido,humanoid_npc_sugerido,morale_immune_sugerido,confianca,motivo
214,Grick Alpha,Grick Alfa,monstruosidade,7,Natural,Superfície,Brute,Letal,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
219,Gynosphinx,Ginoesfinge,monstruosidade,11,Ressonante,Superfície,Boss,Letal,renomeacao_profunda,false,false,baixa,monstruosidade magic → Ressonante
220,Half-Ogre (Ogrillon),Meio-Ogro (Ogrillon),gigante,1,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo gigante → Natural
221,Half-Red Dragon Veteran,Veterano Meio-Dragão Vermelho,humanoide,5,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
229,Hobgoblin,Hobgoblin,humanoide,0.5,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
250,Kobold,Kobold,humanoide,0.125,,,Swarm,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
261,Lizard King,Rei Lagarto,humanoide,4,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
262,Lizard Queen,Rainha Lagarto,humanoide,4,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
263,Lizardfolk,Povo Lagarto,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
264,Lizardfolk Shaman,Xamã Povo Lagarto,humanoide,2,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
275,Merfolk,Tritão,humanoide,0.125,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
281,Minotaur,Minotauro,monstruosidade,3,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
283,Monodrone,Monodrona,constructo,0.125,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
303,Orc,Orc,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
304,Orc Eye of Gruumsh,Olho de Gruumsh Orc,humanoide,2,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
305,Orc War Chief,Chefe de Guerra Orc,humanoide,4,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
306,Orog,Orog,humanoide,2,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
312,Pentadrone,Pentadrona,constructo,2,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
320,Poisonous Snake,Cobra Venenosa,besta,0.125,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
328,Quadrone,Quadrona,constructo,1,Ressonante,Superfície,Tactical,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
330,Quaggoth Spore Servant,Servo Esporo de Quaggoth,planta,1,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,planta (default) → Natural
333,Quipper,Quipper,besta,0,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
346,Rug of Smothering,Tapete Sufocante,constructo,2,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
349,Sahuagin,Sahuagin,humanoide,0.5,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
351,Sahuagin Priestess,Sacerdotisa Sahuagin,humanoide,2,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
358,Sea Horse,Cavalo-Marinho,besta,0,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
363,Shrieker,Berrante,planta,0,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,planta (default) → Natural
383,Swarm of Beetles,Enxame de Besouros,besta,0.5,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
384,Swarm of Centipedes,Enxame de Centopeias,besta,0.5,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
386,Swarm of Poisonous Snakes,Enxame de Cobras Venenosas,besta,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
387,Swarm of Quippers,Enxame de Quippers,besta,1,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
390,Swarm of Spiders,Enxame de Aranhas,besta,0.5,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
391,Swarm of Wasps,Enxame de Vespas,besta,0.5,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
393,Thri-kreen,Thri-kreen,humanoide,1,,,Predator,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
394,Thug,Capanga,humanoide,0.5,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
397,Tribal Warrior,Guerreiro Tribal,humanoide,0.125,,,Swarm,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
399,Tridrone,Tridrona,constructo,0.5,Ressonante,Superfície,Brute,Ambiente,renomeacao_profunda,false,true,media,constructo (default) → Ressonante
409,Vampire Spellcaster,Vampiro Conjurador,morto-vivo,15,Cicatricial,Eco,Boss,Letal,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
410,Vampire Warrior,Vampiro Guerreiro,morto-vivo,15,Cicatricial,Eco,Boss,Letal,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
411,Veteran,Veterano,humanoide,3,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
454,Yuan-ti Pureblood,Sangue Puro Yuan-ti,humanoide,1,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
456,Abjurer,Abjurador,humanoide,9,,,Brute,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
457,Alhoon,Alhoon,morto-vivo,10,Cicatricial,Eco,Leader,Letal,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
458,Annis Hag,Bruxa Annis,fada,6,Marginal,Antigo,Brute,Ameaça,renomeacao_profunda,false,false,baixa,fada archfey/ancient/hag → Marginal
459,Apprentice Wizard,Aprendiz de Mago,humanoide,0.25,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
460,Archdruid,Arquidruida,humanoide,12,,,Boss,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
461,Archer,Arqueiro,humanoide,3,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
462,Aurochs,Auroque,besta,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
463,Babau,Babau,demônio,4,Corrompida,Superfície,Tactical,Ameaça,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
464,Banderhobb,Banderhobb,monstruosidade,5,Ressonante,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade magic → Ressonante
465,Bard,Bardo,humanoide,2,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
466,Barghest,Barghest,demônio,4,Corrompida,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
467,Bheur Hag,Bruxa Bheur,fada,7,Marginal,Antigo,Tactical,Letal,renomeacao_profunda,false,false,baixa,fada archfey/ancient/hag → Marginal
469,Blackguard,Cavaleiro Negro,humanoide,8,,,Tactical,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
471,Bodak,Bodak,morto-vivo,6,Cicatricial,Eco,Brute,Ameaça,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
472,Boggle,Boggle,fada,0.125,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,baixa,fada (default) → Natural
473,Booyahg Booyahg Booyahg,Booyahg Booyahg Booyahg,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
474,Booyahg Caster,Conjurador Booyahg,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
475,Booyahg Slave of the Archfey,Escravo Booyahg do Arquifada,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
476,Booyahg Slave of the Fiend,Escravo Booyahg do Demônio,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
477,Booyahg Slave of the Great Old One,Escravo Booyahg do Grande Ancião,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
478,Booyahg Whip,Chicote Booyahg,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
479,Booyahg Wielder,Portador Booyahg,humanoide,0,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
480,Brontosaurus,Brontossauro,besta,5,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo besta → Natural
481,Catoblepas,Catóblepas,monstruosidade,5,Corrompida,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade corrupted/cursed → Corrompida
482,Cave Fisher,Pescador das Cavernas,monstruosidade,3,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
483,Champion,Campeão,humanoide,9,,,Tactical,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
484,Chitine,Chitine,monstruosidade,0.5,Ressonante,Superfície,Tactical,Ambiente,renomeacao_profunda,false,false,baixa,monstruosidade magic → Ressonante
485,Choldrith,Choldrith,monstruosidade,3,Ressonante,Superfície,Tactical,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade magic → Ressonante
486,Cloud Giant Smiling One,Gigante das Nuvens Sorridente,gigante,11,Natural,Superfície,Leader,Letal,renomeacao_profunda,false,false,alta,tipo gigante → Natural
487,Conjurer,Conjurador,humanoide,6,,,Leader,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
488,Cow,Vaca,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
489,Cranium Rat,Rato Crânio,besta,0,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
490,Darkling,Darkling,fada,0.5,Natural,Superfície,Tactical,Ambiente,renomeacao_profunda,false,false,baixa,fada (default) → Natural
491,Darkling Elder,Darkling Ancião,fada,2,Natural,Superfície,Tactical,Ambiente,renomeacao_profunda,false,false,baixa,fada (default) → Natural
492,Death Kiss,Beijo da Morte,aberração,10,Marginal,Margem,Brute,Letal,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
493,Deep Rothé,Rothé das Profundezas,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
494,Deep Scion,Espião das Profundezas,humanoide,3,,,Brute,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
495,Deinonychus,Deinônico,besta,1,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
496,Devourer,Devorador,demônio,13,Corrompida,Superfície,Leader,Letal,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
497,Dimetrodon,Dimetrodonte,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
498,Diviner,Adivinhador,humanoide,8,,,Brute,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
499,Dolphin,Golfinho,besta,0.125,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
500,Draegloth,Draegloth,demônio,7,Corrompida,Superfície,Brute,Letal,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
501,Elder Brain,Cérebro Ancião,aberração,14,Marginal,Margem,Boss,Letal,substituicao_original,false,false,alta,tipo aberração → Marginal
502,Enchanter,Encantador,humanoide,5,,,Leader,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
503,Evoker,Evocador,humanoide,9,,,Leader,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
504,Fire Giant Dreadnought,Gigante do Fogo Couraçado,gigante,14,Natural,Superfície,Brute,Letal,renomeacao_profunda,false,false,alta,tipo gigante → Natural
505,Firenewt Warlock of Imix,Bruxo Tritão de Fogo de Imix,humanoide,1,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
506,Firenewt Warrior,Guerreiro Tritão de Fogo,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
507,Flail Snail,Caracol Maçã,elemental,3,Ressonante,Superfície,Brute,Ameaça,renomeacao_profunda,false,true,alta,tipo elemental → Ressonante
508,Flind,Flind,humanoide,9,,,Tactical,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
509,Froghemoth,Froghemoth,monstruosidade,10,Natural,Superfície,Brute,Letal,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
510,Frost Giant Everlasting One,Gigante do Gelo Eterno,gigante,12,Natural,Superfície,Brute,Letal,renomeacao_profunda,false,false,alta,tipo gigante → Natural
511,Gauth,Gauth,aberração,6,Marginal,Margem,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
512,Gazer,Olhante,aberração,0.5,Marginal,Margem,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
513,Giant Strider,Passador Gigante,monstruosidade,1,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
514,Girallon,Girallon,monstruosidade,4,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
515,Gnoll Flesh Gnawer,Gnoll Roedor de Carne,humanoide,1,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
516,Gnoll Hunter,Gnoll Caçador,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
517,Gnoll Witherling,Gnoll Mirrado,morto-vivo,0.25,Cicatricial,Eco,Brute,Ambiente,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
519,Grung,Grung,humanoide,0.25,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
520,Grung Elite Warrior,Guerreiro Elite Grung,humanoide,2,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
521,Grung Wildling,Grung Selvagem,humanoide,1,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
522,Hadrosaurus,Hadrossauro,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
523,Hobgoblin Devastator,Hobgoblin Devastador,humanoide,4,,,Leader,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
524,Hobgoblin Iron Shadow,Hobgoblin Sombra de Ferro,humanoide,2,,,Leader,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
525,Illithilich,Illithilich,morto-vivo,22,Cicatricial,Eco,Boss,Letal,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
526,Illusionist,Ilusionista,humanoide,3,,,Brute,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
527,Ki-rin,Ki-rin,celestial,12,Cicatricial,Clarão,Boss,Letal,renomeacao_profunda,false,false,alta,tipo celestial → Cicatricial
528,Kobold Dragonshield,Kobold Escudo de Dragão,humanoide,1,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
529,Kobold Inventor,Kobold Inventor,humanoide,0.25,,,Swarm,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
530,Kobold Scale Sorcerer,Kobold Feiticeiro de Escamas,humanoide,1,,,Swarm,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
531,Korred,Korred,fada,7,Natural,Superfície,Tactical,Letal,renomeacao_profunda,false,false,baixa,fada (default) → Natural
532,Kraken Priest,Sacerdote do Kraken,humanoide,5,,,Brute,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
533,Leucrotta,Leucrota,monstruosidade,3,Corrompida,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade corrupted/cursed → Corrompida
534,Martial Arts Adept,Adepto das Artes Marciais,humanoide,3,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
535,Master Thief,Ladrão Mestre,humanoide,5,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
536,Maw Demon,Demônio Bocarra,demônio,1,Corrompida,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
537,Meenlock,Meenlock,fada,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,baixa,fada (default) → Natural
538,Mind Flayer Psion,Devorador de Mentes Psion,aberração,8,Marginal,Margem,Leader,Letal,substituicao_original,false,false,alta,tipo aberração → Marginal
539,Mindwitness,Testemunha Mental,aberração,5,Marginal,Margem,Leader,Ameaça,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
540,Morkoth,Morkoth,aberração,11,Marginal,Margem,Tactical,Letal,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
541,Mouth of Grolantor,Boca de Grolantor,gigante,6,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo gigante → Natural
542,Necromancer,Necromante,humanoide,9,,,Brute,Letal,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
543,Neogi,Neogi,aberração,3,Marginal,Margem,Leader,Ameaça,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
544,Neogi Hatchling,Filhote de Neogi,aberração,0.125,Marginal,Margem,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
545,Neogi Master,Mestre Neogi,aberração,4,Marginal,Margem,Leader,Ameaça,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
546,Neothelid,Neothelid,aberração,13,Marginal,Margem,Brute,Letal,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
547,Nilbog,Nilbog,humanoide,1,,,Tactical,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
548,Orc Blade of Ilneval,Lâmina de Ilneval Orc,humanoide,4,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
549,Orc Claw of Luthic,Garra de Luthic Orc,humanoide,2,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
550,Orc Hand of Yurtrus,Mão de Yurtrus Orc,humanoide,2,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
551,Orc Nurtured One of Yurtrus,Criado de Yurtrus Orc,humanoide,0.5,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
552,Orc Red Fang of Shargaas,Presa Vermelha de Shargaas Orc,humanoide,3,,,Predator,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
553,Ox,Boi,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
554,Quetzalcoatlus,Quetzalcoatlus,besta,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
557,Redcap,Redcap,fada,3,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,fada (default) → Natural
558,Rothé,Rothé,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
559,Sea Spawn,Engendro do Mar,humanoide,1,,,Brute,Ambiente,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
560,Shadow Mastiff,Mastim das Sombras,monstruosidade,2,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
561,Shoosuva,Shoosuva,demônio,8,Corrompida,Superfície,Brute,Letal,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
562,Slithering Tracker,Rastreador Deslizante,gosma,3,Corrompida,Superfície,Predator,Ameaça,renomeacao_profunda,false,false,media,gosma corrupted → Corrompida
563,Spawn of Kyuss,Cria de Kyuss,morto-vivo,5,Cicatricial,Eco,Brute,Ameaça,renomeacao_profunda,false,true,alta,tipo morto-vivo → Cicatricial
564,Stegosaurus,Estegossauro,besta,4,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo besta → Natural
565,Stench Kow,Vaca Fedorenta,besta,0.25,Natural,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
566,Stone Giant Dreamwalker,Gigante de Pedra Sonhador,gigante,10,Natural,Superfície,Tactical,Letal,renomeacao_profunda,false,false,alta,tipo gigante → Natural
567,Storm Giant Quintessent,Gigante das Tempestades Quintessência,gigante,16,Natural,Superfície,Boss,Letal,renomeacao_profunda,false,false,alta,tipo gigante → Natural
568,Swarm of Cranium Rats,Enxame de Ratos Crânio,besta,5,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,alta,tipo besta → Natural
569,Swarm of Rot Grubs,Enxame de Larvas Podres,besta,0.5,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
570,Swashbuckler,Espadachim,humanoide,3,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
571,Tanarukk,Tanarukk,demônio,5,Corrompida,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
573,Tlincalli,Tlincalli,monstruosidade,5,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
574,Transmuter,Transmutador,humanoide,5,,,Tactical,Ameaça,reclassificacao_npc,true,false,alta,humanoide → NPC (sem origem)
575,Trapper,Armadilheiro,monstruosidade,3,Natural,Superfície,Brute,Ameaça,renomeacao_profunda,false,false,baixa,monstruosidade (default) → Natural
576,Ulitharid,Ulitharid,aberração,9,Marginal,Margem,Leader,Letal,renomeacao_profunda,false,false,alta,tipo aberração → Marginal
577,Vargouille,Vargouille,demônio,1,Corrompida,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,demônio (sem devil) → Corrompida
578,Vegepygmy,Vegepigmeu,planta,0.25,Corrompida,Superfície,Predator,Ambiente,renomeacao_profunda,false,false,media,planta necrotic/corrupted → Corrompida
579,Vegepygmy Chief,Chefe Vegepigmeu,planta,2,Corrompida,Superfície,Brute,Ambiente,renomeacao_profunda,false,false,media,planta necrotic/corrupted → Corrompida
580,Velociraptor,Velocirraptor,besta,0.25,Natural,Superfície,Swarm,Ambiente,renomeacao_profunda,false,false,alta,tipo besta → Natural
