"id","nome","nome_ptbr","tipo","subtipo","raridade","descricao"
540,"Amulet","Amuleto","acessorio","foco_arcano","Comum","[PLACEHOLDER]"
702,"Boots of False Tracks","Botas of False Tracks","acessorio","botas","Comum","[PLACEHOLDER] While wearing these boots, you can have them leave tracks like those of any kind of Humanoid of your size."
818,"Cloak of Billowing","Capa of Billowing","acessorio","capa","Comum","[PLACEHOLDER] While wearing this cloak, you can take a Bonus Action to make it billow dramatically for 1 minute."
826,"Cloak of Many Fashions","Capa of Many Fashions","acessorio","capa","Comum","[PLACEHOLDER] While wearing this cloak, you can take a Bonus Action to change the style, color, and apparent quality of the garment. The cloak's weight doesn't change. Regardless of its appearance, the cloak can't be anything but a cloak. Although it can duplicate the appearance of other magic cloaks, it doesn't gain their magical properties."
834,"Clockwork Amulet","Clockwork Amuleto","acessorio","amuleto","Comum","[PLACEHOLDER] This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability. Faint ticking and whirring noises emanate from within. When you make an attack roll while wearing the amulet, you can forgo rolling the d20 to get a 10 on the die. Once used, this property can't be used again until the next dawn."
952,"Dark Shard Amulet","Dark Shard Amuleto","acessorio","foco_arcano","Comum","[PLACEHOLDER] This amulet is fashioned from a shard of resilient material originating from an otherworldly realm. While you are wearing it, you gain the following benefits. You can use the amulet as a Spellcasting Focus for your Warlock spells. As a Magic action, you can try to cast a cantrip that you don't know. The cantrip must be on the Warlock spell list and have a casting time of an action, and you make a 10 Intelligence (Arcana) check. On a successful check, you cast the spell. On a failed check, the..."
1012,"Dread Helm","Dread Elmo","acessorio","elmo","Comum","[PLACEHOLDER] While you're wearing this fearsome steel helm, your eyes glow red and the rest of your face is hidden in shadow."
1249,"Hat of Vermin","Chapéu of Vermin","acessorio","elmo","Comum","[PLACEHOLDER] This hat has 3 charges. While holding the hat, you can take a Magic action to expend 1 charge and summon your choice of a Bat, a Frog, or a Rat. The summoned creature magically appears in the hat and tries to get away from you as quickly as possible. The creature is Indifferent [Attitude] toward you and other creatures, and it isn't under your control. It behaves as an ordinary creature of its kind and disappears after 1 hour or when it drops to 0 Hit Points. The hat regains all expended char..."
1252,"Hat of Wizardry","Chapéu of Wizardry","acessorio","foco_arcano","Comum","[PLACEHOLDER] This cone-shaped hat is adorned with moons and stars. While you are wearing it, you gain the following benefits. You can use the hat as a Spellcasting Focus for your Wizard spells. As a Magic action, you can try to cast a cantrip that you don't know. The cantrip must be on the Wizard spell list and have a casting time of an action, and you make a 10 Intelligence (Arcana) check. On a successful check, you cast the spell. On a failed check, the spell fails, and the action used to cast the spell..."
1511,"Mask of Changed Appearance","Máscara of Changed Appearance","acessorio","elmo","Comum","[PLACEHOLDER] This jeweled mask has 3 charges. As a Magic action, you can expend 1 charge and change your face's appearance. You can't make yourself look like a different person, but you can smooth or deepen your wrinkles, whiten your teeth, hide or accentuate bags under your eyes, or perform other minor cosmetic changes. While your appearance is changed, the mask has the Invisible condition. Your changed appearance lasts 1 hour. The mask regains 1d3 expended charges daily at dawn. If you expend the last c..."
2537,"Amulet of the Pleasing Bouquet","Amuleto of the Pleasing Bouquet","acessorio","amuleto","Comum","[PLACEHOLDER] Various schools of magic employ all manner of particularly foul-smelling and noxious substances, nauseating some would-be wizards to the point of illness. These enchanted amulets were created to guard against the various stenches found in their masters’ laboratories and supply closets. Enterprising apprentices quickly saw the value of peddling the enchanted trinkets to the affluent wishing to avoid the stench of the streets however, and now they are commonplace among nobility.  The most typic..."
2629,"Ashwood Wand","Ashwood Varinha","acessorio","varinha","Comum","[PLACEHOLDER] You can use this wand as a spellcasting focus. The wand has 3 charges and regains all expended charges daily at dawn. When you cast a spell that deals fire damage while using this wand as your spellcasting focus, the spell deals 1 extra fire damage. If you expend 1 of the wand's charges during the casting, the spell deals 1d4 + 1 extra fire damage instead."
2878,"Commander's Helm","Commander's Elmo","acessorio","elmo","Comum","[PLACEHOLDER] This helmet sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The type of light given off by the helm depends on the aesthetic desired by its creator. Some are surrounded in a wreath of hellish (though illusory) flames, while others give off a soft, warm halo of white or golden light. You can use an action to start or stop the light. While wearing the helm, you can use an action to make your voice loud enough to be heard clearly by anyone within 300 feet of you u..."
2916,"Culdarath the Ninth Ring’s True Name","Culdarath the Ninth Anel’s True Name","acessorio","anel","Comum","[PLACEHOLDER] This slip of parchment contains the magically bound name “Ozzacath’ta Culd” and is burned black at the edges. While you are attuned to it, you can use a bonus action to invoke the name on this parchment to summon a vision of a powerful efreet beside you for 1 minute. Ozzacath is haughty and impatient when conjured but seems to relish the chance to burn anything. Once a vision is summoned in this way, it cannot be summoned again for the next 24 hours. You can use an action to verbally direct t..."
3051,"Fathomer’s Ring","Fathomer’s Anel","acessorio","anel","Comum","[PLACEHOLDER] This ring reeks of muck dredged from the ocean floor. While you wear it, you automatically know the depth of any body of water you can see. As an action, you can cause one submerged, unattended object up to Huge size to rise to the surface of the water at a rate of 500 feet per round. You don’t need to be able to see the object you affect, but you must be familiar with it or at least possess a general description of it. Once the object reaches the water’s surface, it floats there for 1 hour o..."
3085,"Fool's Hat","Fool's Chapéu","acessorio","elmo","Comum","[PLACEHOLDER] This extraordinary hat comes to several points, each with a bell affixed to it. A number of times per day equal to your Charisma modifier, you can snap your fingers as an action and become _invisible_ . The invisibility lasts until the end of your next turn, and it ends early if you attack, deal damage, cast a spell, or force a creature to make a _saving throw_ . However, the sound of bells jingling means your location is always known if you use any movement."
3190,"Hat of Grand Entrances","Chapéu of Grand Entrances","acessorio","elmo","Comum","[PLACEHOLDER] Step into the room and make a grand entrance! This top hat has embroidered figurines of trumpet players in full regalia. By speaking a command word, you can cause the figures to magically and loudly herald your arrival by trumpet blasts, followed by a speech announcing your name, titles, and any of your major accomplishments. You can alter this speech beforehand by giving any special instructions to the hat before speaking the command word. Once this hat has heralded an entrance it can’t be u..."
3192,"Hazelwood Wand","Hazelwood Varinha","acessorio","varinha","Comum","[PLACEHOLDER] You can use this wand as a spellcasting focus. The wand has 3 charges and regains all expended charges daily at dawn. When you cast the goodberry spell while using this wand as your spellcasting focus, you can expend 1 of the wand's charges to transform the berries into hazelnuts, which restore 2 hit points instead of 1. The spell is otherwise unchanged. In addition, when you cast a spell that deals lightning damage while using this wand as your spellcasting focus, the spell deals 1 extra lig..."
3296,"Legerdemain Gloves","Legerdemain Luvas","acessorio","luvas","Comum","[PLACEHOLDER] Stage magic may not be as impressive as true wizardry but it can still delight an audience and that’s where these supple gray leather gloves got their start, but con artists and thieves find uses for them as well. While wearing both of these gloves, once per minute you can teleport an item, up to the size of a dagger, from one hand to the other. The gloves can teleport an item a longer distance, but their magic is forever exhausted in the process. When you wear one glove and another creature ..."
3362,"Mask of Anonymity","Máscara of Anonymity","acessorio","elmo","Comum","[PLACEHOLDER] This masquerade mask covers the top half of your face in an elegant fan of papier-mache and paint, rendering you anonymous. A creature may make an Insight check opposed by your Deception to determine your identity, but does so at _disadvantage_ , even through a magical_/_ sensor."
3429,"Oakwood Wand","Oakwood Varinha","acessorio","varinha","Comum","[PLACEHOLDER] You can use this wand as a spellcasting focus. The wand has 3 charges and regains 1d3 expended charges daily at dawn. While holding it, you can expend 1 charge as an action to cast the detect poison and disease spell from it. When you cast a spell that deals cold damage while using this wand as your spellcasting focus, the spell deals 1 extra cold damage."
3604,"Ring of Deceiver's Warning","Anel of Deceiver's Warning","acessorio","anel","Comum","[PLACEHOLDER] This copper ring is set with a round stone of blue quartz. While you wear the ring, the stone's color changes to red if a shapechanger comes within 30 feet of you. For the purpose of this ring, “shapechanger” refers to any creature with the Shapechanger trait."
3634,"Ring of Remembrance","Anel of Remembrance","acessorio","anel","Comum","[PLACEHOLDER] This ring is a sturdy piece of string, tied at the ends to form a circle. While wearing it, you can use an action to invoke its power by twisting it on your finger. If you do so, you have advantage on the next Intelligence check you make to recall information. The ring can't be used this way again until the next dawn."
3638,"Ring of Shadows","Anel of Shadows","acessorio","anel","Comum","[PLACEHOLDER] While wearing this ebony ring in dim light or darkness, you have advantage on Dexterity (Stealth) checks. When you roll a 20 on a Dexterity (Stealth) check, the ring's magic ceases to function until the next dawn."
3641,"Ring of Small Mercies","Anel of Small Mercies","acessorio","anel","Comum","[PLACEHOLDER] While wearing this plain, beaten pewter ring, you can use an action to cast the spare the dying spell from it at will."
3697,"Rod of Repossession","Bastão of Repossession","acessorio","cajado","Comum","[PLACEHOLDER] This short, metal rod is engraved with arcane runes and images of open hands. The rod has 3 charges and regains all expended charges daily at dawn. While holding the rod, you can use an action to expend 1 of its charges and target an object within 30 feet of you that isn't being worn or carried. If the object weighs no more than 25 pounds, it floats to your open hand. If you have no hands free, the object sticks to the tip of the rod until the end of your next turn or until you remove it as a..."
3712,"Rod of Vapor","Bastão of Vapor","acessorio","cajado","Comum","[PLACEHOLDER] This wooden rod is topped with a dragon's head, carved with its mouth yawning wide. While holding the rod, you can use an action to cause a thick mist to issue from the dragon's mouth, filling your space. As long as you maintain concentration, you leave a trail of mist behind you when you move. The mist forms a line that is 5 feet wide and as long as the distance you travel. This mist you leave behind you lasts for 2 rounds; its area is heavily obscured on the first round and lightly obscured..."
3713,"Rod of Verbatim","Bastão of Verbatim","acessorio","cajado","Comum","[PLACEHOLDER] Tiny runic script covers much of this thin brass rod. While holding the rod, you can use a bonus action to activate it. For 10 minutes, it translates any language spoken within 30 feet of it into Common. The translation can be auditory, or it can appear as glowing, golden script, a choice you make when you activate it. If the translation appears on a surface, the surface must be within 30 feet of the rod and each word remains for 1 round after it was spoken. The rod's translation is literal, ..."
3714,"Rod of Warning","Bastão of Warning","acessorio","cajado","Comum","[PLACEHOLDER] This plain, wooden rod is topped with an orb of clear, polished crystal. You can use an action activate it with a command word while designating a particular kind of creature (orcs, wolves, etc.). When such a creature comes within 120 feet of the rod, the crystal glows, shedding bright light in a 10-foot radius and dim light for an additional 10 feet. You can use an action to deactivate the rod's light or change the kind of creature it detects. The rod doesn't need to be in your possession to..."
3812,"Signal Rings","Signal Anels","acessorio","anel","Comum","[PLACEHOLDER] These rings come as a set of matched golden bands with a green enamel inlay. As an action, the wearer of one can rotate the inlay a full turn, at which point it turns to red. When one ring changes color, the other one does as well, regardless of its location."
4029,"True Weight Gloves","True Weight Luvas","acessorio","luvas","Comum","[PLACEHOLDER] This set of emerald green gloves are made from velvet with very fine silk stitching and function as a small scale. While wearing them, you can hold two objects in your hands and know the exact weight of the objects. The objects must be of a size and weight that allow you to hold your arms straight out with one in each open palm. While using the gloves to weigh objects, you can speak a command word that makes them disappear in a puff of green smoke if either object is counterfeit."
4074,"Wand of Air Glyphs","Varinha of Air Glyphs","acessorio","varinha","Comum","[PLACEHOLDER] While holding this thin, metal wand, you can use action to cause the tip to glow. When you wave the glowing wand in the air, it leaves a trail of light behind it, allowing you to write or draw on the air. Whatever letters or images you make hang in the air for 1 minute before fading away."
4079,"Wand of Depth Detection","Varinha of Depth Detection","acessorio","varinha","Comum","[PLACEHOLDER] This simple wooden wand has 7 charges and regains 1d6 + 1 expended charges daily at dawn. While holding it, you can use an action to expend 1 charge and point it at a body of water or other liquid. You learn the liquid's deepest point or its average depth (your choice). In addition, you can use an action to expend 1 charge while you are submerged in a liquid to determine how far you are beneath the liquid's surface."
4080,"Wand of Direction","Varinha of Direction","acessorio","varinha","Comum","[PLACEHOLDER] This crooked, twisting wand is crafted of polished ebony with a small, silver arrow affixed to its tip. The wand has 3 charges. While holding it, you can expend 1 charge as an action to make the wand remember your path for up to 1,760 feet of movement. You can increase the length of the path the wand remembers by 1,760 feet for each additional charge you expend. When you expend a charge to make the wand remember your current path, the wand forgets the oldest path of up to 1,760 feet that it r..."
4086,"Wand of Extinguishing","Varinha of Extinguishing","acessorio","varinha","Comum","[PLACEHOLDER] This charred and blackened wooden wand has 3 charges. While holding it, you can use an action to expend 1 of its charges to extinguish a nonmagical flame within 10 feet of you that is no larger than a small campfire. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand transforms into a wand of ignition."
4092,"Wand of Flame Control","Varinha of Flame Control","acessorio","varinha","Comum","[PLACEHOLDER] This wand is fashioned from a branch of pine, stripped of bark and beaded with hardened resin. The wand has 3 charges. If you use the wand as an arcane focus while casting a spell that deals fire damage, you can expend 1 charge as part of casting the spell to increase the spell's damage by 1d4. In addition, while holding the wand, you can use an action to expend 1 of its charges to cause one of the following effects: - Change the color of any flames within 30 feet. - Cause a single flame to b..."
4093,"Wand of Giggles","Varinha of Giggles","acessorio","varinha","Comum","[PLACEHOLDER] This wand is tipped with a feather. The wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and point the wand at a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to giggle for 1 minute. Giggling doesn't prevent a target from taking actions or moving. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a 1d20. On a 1, the wand transforms into a Wand..."
4094,"Wand of Guidance","Varinha of Guidance","acessorio","varinha","Comum","[PLACEHOLDER] This slim, metal wand is topped with a cage shaped like a three-sided pyramid. An eye of glass sits within the pyramid. The wand has 3 charges. While holding it, you can use an action to expend 1 of its charges to cast the guidance spell from it. The wand regains all expended charges at dawn. If you expend the wand's last charge, roll a 1d20. On a 1, the wand transforms into a Wand of Resistance."
4096,"Wand of Ignition","Varinha of Ignition","acessorio","varinha","Comum","[PLACEHOLDER] The cracks in this charred and blackened wooden wand glow like live coals, but the wand is merely warm to the touch. The wand has 3 charges. While holding it, you can use an action to expend 1 of its charges to set fire to one flammable object or collection of material (a stack of paper, a pile of kindling, or similar) within 10 feet of you that is Small or smaller. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a 1d20. On a 1, the wand transfo..."
4113,"Wand of Tears","Varinha of Tears","acessorio","varinha","Comum","[PLACEHOLDER] The top half of this wooden wand is covered in thorns. The wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and point the wand at a humanoid you can see within 30 feet of you. The target must succeed on a DC 10 Charisma saving throw or be forced to cry for 1 minute. Crying doesn't prevent a target from taking actions or moving. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a 1d20. On a 1, the wand transfor..."
4114,"Wand of the Scribe","Varinha of the Scribe","acessorio","varinha","Comum","[PLACEHOLDER] Nearly half the size of most other wands, this arcane implement is a solid piece of mithral with a tapered point that resembles the nib of a writing quill. While you are attuned to the wand, you can write on parchment and similar surfaces that would hold ink as though using an ordinary quill. The wand never runs out of ink when used this way. The _wand of the scribe_ has 1d6 charges and regains 3 charges each dawn. You can expend 1 charge from the wand to cast __illusory script_ . You can als..."
4124,"Wand of Windows","Varinha of Windows","acessorio","varinha","Comum","[PLACEHOLDER] This clear, crystal wand has 3 charges. You can use an action to expend 1 charge and touch the wand to any nonmagical object. The wand causes a portion of the object, up to 1-foot square and 6 inches deep, to become transparent for 1 minute. The effect ends if you stop holding the wand. The wand regains 1d3 expended charges daily at dawn. If you expend the wand's last charge, roll a 1d20. On a 1, the wand slowly becomes cloudy until it is completely opaque and becomes nonmagical."
4168,"Wood Woad Amulet","Wood Woad Amuleto","acessorio","amuleto","Comum","[PLACEHOLDER] This wooden amulet painted with blue pigment is carved to resemble a humanoid figure armed with a club and shield. Its face is featureless apart from two empty eyes that glow with a faint yellow light. When you hold it to your ear, you hear faint whispers. Once a day as an action, you can hold the amulet to your ear and listen to its whispers to guide you. You gain an expertise die to one ability check made in the next minute. You may roll the expertise die before or after making the ability ..."
475,"+1 Amulet of the Devout","+1 Amuleto of the Devout","acessorio","amuleto","Incomum","[PLACEHOLDER] This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +1 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
478,"+1 Dragonhide Belt","+1 Dragonhide Cinturão","acessorio","cinturao","Incomum","[PLACEHOLDER] This finely detailed belt is made of dragonhide. While wearing it, you gain a +1 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
482,"+1 Rod of the Pact Keeper","+1 Bastão of the Pact Keeper","acessorio","cajado","Incomum","[PLACEHOLDER] While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your warlock spells. In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest."
548,"Amulet of Proof against Detection and Location","Amuleto of Proof against Detection and Location","acessorio","amuleto","Incomum","[PLACEHOLDER] While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors."
552,"Amulet of the Drunkard","Amuleto of the Drunkard","acessorio","amuleto","Incomum","[PLACEHOLDER] This amulet smells of old, ale-stained wood. While wearing it, you can regain 4d4 + 4 hit points when you drink a pint of beer, ale, mead, or wine. Once the amulet has restored hit points, it can't do so again until the next dawn."
708,"Boots of Striding and Springing","Botas of Striding and Springing","acessorio","botas","Incomum","[PLACEHOLDER] While you wear these boots, your walking speed becomes 30 feet, unless your walking speed is higher, and your speed isn't reduced if you are encumbered or wearing heavy armor. In addition, you can jump three times the normal distance, though you can't jump farther than your remaining movement would allow."
710,"Boots of the Winding Path","Botas of the Winding Path","acessorio","botas","Incomum","[PLACEHOLDER] While wearing these boots, you can take a Bonus Action to teleport up to 15 feet to an unoccupied space you can see. You must have occupied that space at some point during the current turn."
711,"Boots of the Winterlands","Botas of the Winterlands","acessorio","botas","Incomum","[PLACEHOLDER] These furred boots are snug and feel quite warm. While you wear them, you gain the following benefits: You have resistance to cold damage. You ignore difficult terrain created by ice or snow. You can tolerate temperatures as low as -50 degrees Fahrenheit without any additional protection. If you wear heavy clothes, you can tolerate temperatures as low as -100 degrees Fahrenheit."
722,"Bracers of Archery","Braçadeiras of Archery","acessorio","bracadeira","Incomum","[PLACEHOLDER] While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus to damage rolls on ranged attacks made with such weapons."
740,"Brooch of Shielding","Brooch of Escudoing","acessorio","amuleto","Incomum","[PLACEHOLDER] While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell."
808,"Circlet of Blasting","Tiara of Blasting","acessorio","elmo","Incomum","[PLACEHOLDER] While wearing this circlet, you can use an action to cast the scorching ray spell with it. When you make the spell's attacks, you do so with an attack bonus of 5. The circlet can't be used this way again until the next dawn."
810,"Circlet of Human Perfection","Tiara of Human Perfection","acessorio","elmo","Incomum","[PLACEHOLDER] The Circlet of Human Perfection transforms its attuned wearer into an attractive human of average height and weight. The circlet chooses the physical characteristics of the form, such as age, gender, skin color, hair color, and voice. Except for size, the wearer's statistics and racial traits don't change, nor do items worn or carried by the wearer. Removing the circlet ends the effect."
832,"Cloak of the Manta Ray","Capa of the Manta Ray","acessorio","capa","Incomum","[PLACEHOLDER] While wearing this cloak with its hood up, you can breathe underwater, and you have a swimming speed of 60 feet. Pulling the hood up or down requires an action."
845,"Command Amulet","Command Amuleto","acessorio","amuleto","Incomum","[PLACEHOLDER] Each Shield Guardian is magically bound to an amulet. While the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (round up) is transferred to the guardian. A shield guardian's command amulet might be passed down through a magic-using society or family f..."
871,"Crown of the Forest","Coroa of the Forest","acessorio","elmo","Incomum","[PLACEHOLDER] While wearing this crown, a character automatically fails any Intelligence (Investigation) check made to see through an illusion. An illusion that is touched still has its true nature revealed. However, a character wearing a crown has such a strong sense that the illusion is real that they might not know which of their senses to believe. If this crown is closely examined by a character who succeeds on a 20 Intelligence (Nature) or Wisdom (Perception) check, or with a detect magic spell cast u..."
1109,"Falkir's Helm of Pigheadedness","Falkir's Elmo of Pigheadedness","acessorio","elmo","Incomum","[PLACEHOLDER] This steel helm is shaped like the head of a boar. Once you don the helm, it can't be removed until you die or until a remove curse spell or similar magic is cast on it. If you wear the helm and are a humanoid, you gain the following flaw until the helm is removed: ""I'm exceedingly stubborn and think I'm right all the time."" (This flaw supersedes any conflicting flaw.)"
1192,"Gloves of Missile Snaring","Luvas of Missile Snaring","acessorio","luvas","Incomum","[PLACEHOLDER] These gloves seem to almost meld into your hands when you don them. When a ranged weapon attack hits you while you're wearing them, you can use your reaction to reduce the damage by 1d10 + your Dexterity modifier, provided that you have a free hand. If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in that hand."
1195,"Gloves of Swimming and Climbing","Luvas of Swimming and Climbing","acessorio","luvas","Incomum","[PLACEHOLDER] While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim."
1197,"Gloves of Thievery","Luvas of Thievery","acessorio","luvas","Incomum","[PLACEHOLDER] These gloves are invisible while worn. While wearing them, you gain a +5 bonus to Dexterity (Sleight of Hand) checks and Dexterity checks made to pick locks."
1214,"Gravenhollow Compass Ring","Gravenhollow Compass Anel","acessorio","anel","Incomum","[PLACEHOLDER] This gold ring is fitted with a star ruby worth 1,000 gp. A detect magic spell reveals that the gem radiates a faint aura of divination magic. The gem's star-shaped core is a magical compass that guides the ring's wearer along the safest, shortest route to Gravenhollow."
1246,"Hat of Disguise","Chapéu of Disguise","acessorio","elmo","Incomum","[PLACEHOLDER] While wearing this hat, you can use an action to cast the disguise self spell from it at will. The spell ends if the hat is removed."
1251,"Hat of Vortexes","Chapéu of Vortexes","acessorio","elmo","Incomum","[PLACEHOLDER] This hat has 3 charges and regains all expended charges daily at dawn. You can take a Magic action and expend 1 charge while holding the hat to release a magical vortex from it. The vortex fills a 10-foot Cube [Area of Effect] originating from you and lasts for 1 hour. While the vortex is present, its area is Difficult Terrain. You decide a vortex's visual details when you create it. For instance, the vortex might be multicolored or glittery."
1262,"Helm of Awareness","Elmo of Awareness","acessorio","elmo","Incomum","[PLACEHOLDER] While wearing this helmet, you have Advantage on Initiative rolls."
1265,"Helm of Comprehending Languages","Elmo of Comprehending Languages","acessorio","elmo","Incomum","[PLACEHOLDER] While wearing this helm, you can use an action to cast the comprehend languages spell from it at will."
